31-DAY WAIT FOR SECOND OR SUBSEQUENT TREATMENT: RADIOTHERAPY TREATMENTS,,,,,,,,,,,,,,
42614,,,,,,,,,,,,,,
"BASIS: PROVIDER BASED INCLUDING WELSH CROSS-BORDER PATIENTS AND ""UNKNOWNS""",,,,,,,,,,,,,,
DEFINITIONS: AMD 23/2011,,,,,,,,,,,,,,
Footnotes: See Cover page,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
PART A: ADMITTED CARE,,,,,,,,,,,,,,
,,,,,NUMBER OF PEOPLE RECEIVING SECOND OR SUBSEQUENT TREATMENT FOR CANCER,,,PERCENTAGE,,NUMBER OF PEOPLE RECEIVING SECOND OR SUBSEQUENT TREATMENT,,,,
,ODS CODE (1),PROVIDER (4) (5),CARE SETTING (2),TREATMENT TYPE,TOTAL,WITHIN 31 DAYS,AFTER 31 DAYS,TREATED WITHIN 31 DAYS,,WITHIN 31 DAYS,32 TO 38 DAYS,39 TO 48 DAYS,49 TO 62 DAYS,AFTER 62 DAYS
,R1H,BARTS HEALTH NHS TRUST,ADMITTED,RADIOTHERAPY,4,4,0,100.00%,,4,0,0,0,0
,RQ3,BIRMINGHAM CHILDREN'S HOSPITAL NHS FOUNDATION TRUST,ADMITTED,RADIOTHERAPY,1,1,0,100.00%,,1,0,0,0,0
,RXH,BRIGHTON AND SUSSEX UNIVERSITY HOSPITALS NHS TRUST,ADMITTED,RADIOTHERAPY,21,20,1,95.24%,,20,0,0,0,1
,RGT,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,ADMITTED,RADIOTHERAPY,10,10,0,100.00%,,10,0,0,0,0
,RDE,COLCHESTER HOSPITAL UNIVERSITY NHS FOUNDATION TRUST,ADMITTED,RADIOTHERAPY,10,9,1,90.00%,,9,1,0,0,0
,RTG,DERBY TEACHING HOSPITALS NHS FOUNDATION TRUST,ADMITTED,RADIOTHERAPY,22,21,1,95.45%,,21,1,0,0,0
,RWH,EAST AND NORTH HERTFORDSHIRE NHS TRUST,ADMITTED,RADIOTHERAPY,10,8,2,80.00%,,8,0,0,1,1
,RVV,EAST KENT HOSPITALS UNIVERSITY NHS FOUNDATION TRUST,ADMITTED,RADIOTHERAPY,2,2,0,100.00%,,2,0,0,0,0
,RXR,EAST LANCASHIRE HOSPITALS NHS TRUST,ADMITTED,RADIOTHERAPY,1,1,0,100.00%,,1,0,0,0,0
,RDU,FRIMLEY HEALTH NHS FOUNDATION TRUST,ADMITTED,RADIOTHERAPY,1,1,0,100.00%,,1,0,0,0,0
,RTE,GLOUCESTERSHIRE HOSPITALS NHS FOUNDATION TRUST,ADMITTED,RADIOTHERAPY,7,6,1,85.71%,,6,0,0,0,1
,RJ1,GUY'S AND ST THOMAS' NHS FOUNDATION TRUST,ADMITTED,RADIOTHERAPY,17,15,2,88.24%,,15,1,1,0,0
