62-DAY (URGENT GP REFERRAL TO TREATMENT) WAIT FOR FIRST TREATMENT: ALL CANCERS,,,,,,,,,,,,,,,,,
42826,,,,,,,,,,,,,,,,,
"BASIS: PROVIDER BASED INCLUDING WELSH CROSS-BORDER PATIENTS AND ""UNKNOWNS""",,,,,,,,,,,,,,,,,
DEFINITIONS: AMD 23/2011,,,,,,,,,,,,,,,,,
NOTE: THE NHS CANCER PLAN ALL CANCER 62-DAY REFERRAL TO TREATMENT STANDARD DATASET INCLUDES THOSE PATIENTS SEPARATELY IDENTIFIED IN THE 31-DAY REFERRAL TO TREATMENT STANDARD FOR RARE CANCERS.,,,,,,,,,,,,,,,,,
Footnotes: See Cover page,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
PART A: ADMITTED CARE,,,,,,,,,,,,,,,,,
,,,,,NUMBER OF PEOPLE RECEIVING FIRST TREATMENT FOR CANCER,,,PERCENTAGE ,,NUMBER OF PEOPLE RECEIVING FIRST TREATMENT FOR CANCER,,,,,,,
,ODS CODE (1),ACCOUNTABLE PROVIDER (4) (5),CARE SETTING (2),CANCER TYPE,TOTAL,WITHIN 62 DAYS,AFTER 62 DAYS,TREATED WITHIN 62 DAYS,,WITHIN 31 DAYS,32 TO 38 DAYS,39 TO 48 DAYS,49 TO 62 DAYS,63 TO 76 DAYS,77 TO 90 DAYS,91 TO 104 DAYS ,AFTER 104 DAYS
,REM,AINTREE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,34.5,28.5,6,82.61%,,4.5,6,7,11,2.5,1,2,0.5
,RCF,AIREDALE NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,26.5,23.5,3,88.68%,,5,4,6,8.5,2,0,0.5,0.5
,RTK,ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,28,25,3,89.29%,,5,1.5,3.5,15,0.5,1,0.5,1
,RF4,"BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST",ADMITTED,ALL CANCERS,72,59.5,12.5,82.64%,,17,6,12.5,24,1.5,2,0,9
,RFF,BARNSLEY HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,19.5,18.5,1,94.87%,,3,6.5,5.5,3.5,0,0,1,0
,R1H,BARTS HEALTH NHS TRUST,ADMITTED,ALL CANCERS,61.5,57,4.5,92.68%,,13,2,11,31,1.5,1.5,0,1.5
,RDD,BASILDON AND THURROCK UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,27.5,15.5,12,56.36%,,1,1.5,4,9,4,2.5,1.5,4
,RC1,BEDFORD HOSPITAL NHS TRUST,ADMITTED,ALL CANCERS,34.5,30.5,4,88.41%,,14,4,4.5,8,1,1,2,0
,RQ3,BIRMINGHAM WOMEN'S AND CHILDREN'S NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,1,1,0,100.00%,,0,0,0,1,0,0,0,0
,RLU,BIRMINGHAM WOMEN'S NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,0.5,0.5,0,100.00%,,0,0,0,0.5,0,0,0,0
,RXL,BLACKPOOL TEACHING HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,45,37.5,7.5,83.33%,,15.5,1.5,7,13.5,2.5,3.5,0,1.5
,RMC,BOLTON NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,23.5,21.5,2,91.49%,,5,2,3.5,11,2,0,0,0
,RAE,BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,56.5,47,9.5,83.19%,,8,3,16.5,19.5,2,3.5,2,2
,RY2,BRIDGEWATER COMMUNITY HEALTHCARE NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,0.5,0.5,0,100.00%,,0,0,0,0.5,0,0,0,0
,RXH,BRIGHTON AND SUSSEX UNIVERSITY HOSPITALS NHS TRUST,ADMITTED,ALL CANCERS,52.5,39,13.5,74.29%,,8,4,5,22,4.5,1.5,2,5.5
,RXQ,BUCKINGHAMSHIRE HEALTHCARE NHS TRUST,ADMITTED,ALL CANCERS,69,57,12,82.61%,,19,9,17.5,11.5,9,1,0,2
,RJF,BURTON HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,44,36.5,7.5,82.95%,,7,10,10,9.5,4,0.5,1,2
,RWY,CALDERDALE AND HUDDERSFIELD NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,49.5,43,6.5,86.87%,,11,3,11,18,0.5,3,0.5,2.5
,RGT,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,50,33.5,16.5,67.00%,,5.5,7,9,12,4.5,8,3.5,0.5
,RW3,CENTRAL MANCHESTER UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,34,28,6,82.35%,,10,4,5.5,8.5,2,0.5,0,3.5
,RQM,CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,13.5,13,0.5,96.30%,,0,1,6.5,5.5,0,0,0,0.5
,RFS,CHESTERFIELD ROYAL HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,30.5,26.5,4,86.89%,,2.5,2.5,10.5,11,1.5,0.5,0,2
,RLN,CITY HOSPITALS SUNDERLAND NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,36,30,6,83.33%,,7.5,3.5,9.5,9.5,1.5,0,2,2.5
,RDE,COLCHESTER HOSPITAL UNIVERSITY NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,86,66.5,19.5,77.33%,,22,16,10,18.5,9,6.5,3,1
,RJR,COUNTESS OF CHESTER HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,31.5,27,4.5,85.71%,,1,5,9.5,11.5,2,1,1.5,0
,RXP,COUNTY DURHAM AND DARLINGTON NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,76.5,66,10.5,86.27%,,23,15,11.5,16.5,4,2,4.5,0
,RJ6,CROYDON HEALTH SERVICES NHS TRUST,ADMITTED,ALL CANCERS,18.5,16,2.5,86.49%,,3,4,3.5,5.5,1,0.5,0,1
,RN7,DARTFORD AND GRAVESHAM NHS TRUST,ADMITTED,ALL CANCERS,26,22,4,84.62%,,4,4,5,9,1,0.5,1,1.5
,RTG,DERBY TEACHING HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,69.5,46.5,23,66.91%,,8,8,13.5,17,5.5,2.5,2.5,12.5
,RP5,DONCASTER AND BASSETLAW TEACHING HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,38,33.5,4.5,88.16%,,9.5,5,7,12,1,1.5,1.5,0.5
,RBD,DORSET COUNTY HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,28,21,7,75.00%,,4.5,5,6,5.5,2,4.5,0.5,0
,RWH,EAST AND NORTH HERTFORDSHIRE NHS TRUST,ADMITTED,ALL CANCERS,42,34.5,7.5,82.14%,,18,3.5,4,9,1.5,1,1,4
,RJN,EAST CHESHIRE NHS TRUST,ADMITTED,ALL CANCERS,7.5,7,0.5,93.33%,,3.5,1,1,1.5,0,0,0.5,0
,RVV,EAST KENT HOSPITALS UNIVERSITY NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,121.5,92.5,29,76.13%,,27,17,23,25.5,5,6.5,9,8.5
,RXR,EAST LANCASHIRE HOSPITALS NHS TRUST,ADMITTED,ALL CANCERS,56.5,52.5,4,92.92%,,12.5,7,17,16,3,0,1,0
,RXC,EAST SUSSEX HEALTHCARE NHS TRUST,ADMITTED,ALL CANCERS,70.5,51.5,19,73.05%,,21,9,7,14.5,6.5,2,3,7.5
,RVR,EPSOM AND ST HELIER UNIVERSITY HOSPITALS NHS TRUST,ADMITTED,ALL CANCERS,24.5,20.5,4,83.67%,,4.5,0.5,6.5,9,3,0.5,0.5,0
,RDU,FRIMLEY HEALTH NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,70.5,65,5.5,92.20%,,15,14.5,11.5,24,4,0.5,0,1
,RR7,GATESHEAD HEALTH NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,47,45,2,95.74%,,10.5,7,9.5,18,1,0.5,0.5,0
,RLT,GEORGE ELIOT HOSPITAL NHS TRUST,ADMITTED,ALL CANCERS,14.5,13.5,1,93.10%,,2,1,7.5,3,0,1,0,0
,RTE,GLOUCESTERSHIRE HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,90,71.5,18.5,79.44%,,10.5,12,16.5,32.5,5,4,3,6.5
,RN3,GREAT WESTERN HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,35.5,27,8.5,76.06%,,6,3,5.5,12.5,3.5,3.5,0,1.5
,RJ1,GUY'S AND ST THOMAS' NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,67,48,19,71.64%,,9.5,3.5,9.5,25.5,6.5,3.5,2.5,6.5
,RN5,HAMPSHIRE HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,42.5,36.5,6,85.88%,,10,9,10,7.5,2,0.5,0.5,3
,RCD,HARROGATE AND DISTRICT NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,18,14.5,3.5,80.56%,,6,2,3,3.5,2,1,0,0.5
,RR1,HEART OF ENGLAND NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,111.5,98,13.5,87.89%,,13.5,13,19,52.5,8.5,3.5,1.5,0
,RQX,HOMERTON UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,9.5,5,4.5,52.63%,,1,0,0.5,3.5,1.5,1,1,1
,RWA,HULL AND EAST YORKSHIRE HOSPITALS NHS TRUST,ADMITTED,ALL CANCERS,76.5,57.5,19,75.16%,,18,3,11,25.5,5,6.5,0.5,7
,RYJ,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,ADMITTED,ALL CANCERS,49.5,43.5,6,87.88%,,9,1,11,22.5,1,2,1,2
,RGQ,IPSWICH HOSPITAL NHS TRUST,ADMITTED,ALL CANCERS,64,53,11,82.81%,,13,4,16.5,19.5,4.5,4,1.5,1
,R1F,ISLE OF WIGHT NHS TRUST,ADMITTED,ALL CANCERS,12,11.5,0.5,95.83%,,2,3,1.5,5,0,0,0.5,0
,RGP,JAMES PAGET UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,33.5,28.5,5,85.07%,,5,7.5,6.5,9.5,2.5,0,1,1.5
,RNQ,KETTERING GENERAL HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,29,26.5,2.5,91.38%,,7.5,0,7.5,11.5,1,1,0,0.5
,RJZ,KING'S COLLEGE HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,66.5,58,8.5,87.22%,,12,7,16,23,4,1.5,2.5,0.5
,RAX,KINGSTON HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,30.5,29,1.5,95.08%,,8.5,4,8.5,8,0.5,1,0,0
,RXN,LANCASHIRE TEACHING HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,62,50,12,80.65%,,13.5,6.5,12.5,17.5,5.5,4,2,0.5
