62-DAY (URGENT GP REFERRAL TO TREATMENT) WAIT FOR FIRST TREATMENT: ALL CANCERS,,,,,,,,,,,,,,,,,
42644,,,,,,,,,,,,,,,,,
"BASIS: PROVIDER BASED INCLUDING WELSH CROSS-BORDER PATIENTS AND ""UNKNOWNS""",,,,,,,,,,,,,,,,,
DEFINITIONS: AMD 23/2011,,,,,,,,,,,,,,,,,
NOTE: THE NHS CANCER PLAN ALL CANCER 62-DAY REFERRAL TO TREATMENT STANDARD DATASET INCLUDES THOSE PATIENTS SEPARATELY IDENTIFIED IN THE 31-DAY REFERRAL TO TREATMENT STANDARD FOR RARE CANCERS.,,,,,,,,,,,,,,,,,
Footnotes: See Cover page,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
PART A: ADMITTED CARE,,,,,,,,,,,,,,,,,
,,,,,NUMBER OF PEOPLE RECEIVING FIRST TREATMENT FOR CANCER,,,PERCENTAGE ,,NUMBER OF PEOPLE RECEIVING FIRST TREATMENT FOR CANCER,,,,,,,
,ODS CODE (1),ACCOUNTABLE PROVIDER (4) (5),CARE SETTING (2),CANCER TYPE,TOTAL,WITHIN 62 DAYS,AFTER 62 DAYS,TREATED WITHIN 62 DAYS,,WITHIN 31 DAYS,32 TO 38 DAYS,39 TO 48 DAYS,49 TO 62 DAYS,63 TO 76 DAYS,77 TO 90 DAYS,91 TO 104 DAYS ,AFTER 104 DAYS
,REM,AINTREE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,43.5,40.5,3,93.10%,,14,8.5,6,12,2,0.5,0,0.5
,RCF,AIREDALE NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,24,22.5,1.5,93.75%,,11,2,4,5.5,1,0,0.5,0
,RBS,ALDER HEY CHILDREN'S NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,0.5,0.5,0,100.00%,,0.5,0,0,0,0,0,0,0
,RTK,ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,26,17.5,8.5,67.31%,,2,2.5,2,11,2,2,1,3.5
,RF4,"BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST",ADMITTED,ALL CANCERS,67.5,52.5,15,77.78%,,5,12,13.5,22,4,2.5,3,5.5
,RFF,BARNSLEY HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,23,21,2,91.30%,,5.5,4.5,6,5,1.5,0,0,0.5
,R1H,BARTS HEALTH NHS TRUST,ADMITTED,ALL CANCERS,65.5,56.5,9,86.26%,,11,5.5,9,31,3.5,2.5,2,1
,RDD,BASILDON AND THURROCK UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,42.5,26.5,16,62.35%,,6.5,4.5,3.5,12,5,4.5,2,4.5
,RC1,BEDFORD HOSPITAL NHS TRUST,ADMITTED,ALL CANCERS,32,25.5,6.5,79.69%,,11,3,3,8.5,1,3,1.5,1
,RLU,BIRMINGHAM WOMEN'S NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,3.5,2.5,1,71.43%,,0,0,0,2.5,1,0,0,0
,RXL,BLACKPOOL TEACHING HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,50,45.5,4.5,91.00%,,9.5,7,13,16,2,1.5,1,0
,RMC,BOLTON NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,28,26.5,1.5,94.64%,,7,1,7.5,11,1.5,0,0,0
,RAE,BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,59.5,49,10.5,82.35%,,10,7,13,19,3.5,2.5,1,3.5
,RXH,BRIGHTON AND SUSSEX UNIVERSITY HOSPITALS NHS TRUST,ADMITTED,ALL CANCERS,62.5,49,13.5,78.40%,,11,4.5,9.5,24,5,3.5,1,4
,RXQ,BUCKINGHAMSHIRE HEALTHCARE NHS TRUST,ADMITTED,ALL CANCERS,62.5,53,9.5,84.80%,,16,14,8.5,14.5,1,5.5,1,2
,RJF,BURTON HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,29,21,8,72.41%,,8,2,4.5,6.5,3,2,0,3
,RWY,CALDERDALE AND HUDDERSFIELD NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,67.5,58.5,9,86.67%,,21,7,13,17.5,3,1,2,3
,RGT,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,51,38.5,12.5,75.49%,,5.5,4.5,10.5,18,4.5,3,2,3
,RW3,CENTRAL MANCHESTER UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,32,25.5,6.5,79.69%,,5,2,4,14.5,1.5,2,0.5,2.5
,RQM,CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,30,24,6,80.00%,,5,3.5,2.5,13,3.5,2,0,0.5
,RFS,CHESTERFIELD ROYAL HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,47,34.5,12.5,73.40%,,10,7.5,6.5,10.5,7.5,3.5,0,1.5
,RLN,CITY HOSPITALS SUNDERLAND NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,50,41.5,8.5,83.00%,,11,4.5,9,17,2.5,1.5,0.5,4
,RDE,COLCHESTER HOSPITAL UNIVERSITY NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,77,61,16,79.22%,,26,12.5,9,13.5,6.5,4.5,2,3
,RJR,COUNTESS OF CHESTER HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,31,26.5,4.5,85.48%,,4,7,7,8.5,2,1,0,1.5
,RXP,COUNTY DURHAM AND DARLINGTON NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,82,69,13,84.15%,,23.5,7.5,14,24,5,3,3,2
