62-DAY (URGENT GP REFERRAL TO TREATMENT) WAIT FOR FIRST TREATMENT: ALL CANCERS,,,,,,,,,,,,,,,,,
42614,,,,,,,,,,,,,,,,,
"BASIS: PROVIDER BASED INCLUDING WELSH CROSS-BORDER PATIENTS AND ""UNKNOWNS""",,,,,,,,,,,,,,,,,
DEFINITIONS: AMD 23/2011,,,,,,,,,,,,,,,,,
NOTE: THE NHS CANCER PLAN ALL CANCER 62-DAY REFERRAL TO TREATMENT STANDARD DATASET INCLUDES THOSE PATIENTS SEPARATELY IDENTIFIED IN THE 31-DAY REFERRAL TO TREATMENT STANDARD FOR RARE CANCERS.,,,,,,,,,,,,,,,,,
Footnotes: See Cover page,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
PART A: ADMITTED CARE,,,,,,,,,,,,,,,,,
,,,,,NUMBER OF PEOPLE RECEIVING FIRST TREATMENT FOR CANCER,,,PERCENTAGE ,,NUMBER OF PEOPLE RECEIVING FIRST TREATMENT FOR CANCER,,,,,,,
,ODS CODE (1),ACCOUNTABLE PROVIDER (4) (5),CARE SETTING (2),CANCER TYPE,TOTAL,WITHIN 62 DAYS,AFTER 62 DAYS,TREATED WITHIN 62 DAYS,,WITHIN 31 DAYS,32 TO 38 DAYS,39 TO 48 DAYS,49 TO 62 DAYS,63 TO 76 DAYS,77 TO 90 DAYS,91 TO 104 DAYS ,AFTER 104 DAYS
,REM,AINTREE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,38,32.5,5.5,85.53%,,8.5,2,6.5,15.5,4,0.5,0,1
,RCF,AIREDALE NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,24.5,21,3.5,85.71%,,9.5,4,5,2.5,1.5,1.5,0.5,0
,RTK,ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,22,17,5,77.27%,,4,2,1.5,9.5,1,1.5,1.5,1
,RF4,"BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST",ADMITTED,ALL CANCERS,75,57.5,17.5,76.67%,,10.5,9,17,21,5,6,1.5,5
,RFF,BARNSLEY HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,27,24.5,2.5,90.74%,,4.5,2.5,9,8.5,1,1,0.5,0
,R1H,BARTS HEALTH NHS TRUST,ADMITTED,ALL CANCERS,76,63,13,82.89%,,15,10.5,8.5,29,2.5,6.5,2,2
,RDD,BASILDON AND THURROCK UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,45,27.5,17.5,61.11%,,8,3,2.5,14,5,4.5,4,4
,RC1,BEDFORD HOSPITAL NHS TRUST,ADMITTED,ALL CANCERS,35,29.5,5.5,84.29%,,11,2,5.5,11,2.5,2.5,0,0.5
,RQ3,BIRMINGHAM CHILDREN'S HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,1,1,0,100.00%,,1,0,0,0,0,0,0,0
,RLU,BIRMINGHAM WOMEN'S NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,1.5,0.5,1,33.33%,,0,0.5,0,0,1,0,0,0
,RXL,BLACKPOOL TEACHING HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,59,53.5,5.5,90.68%,,21,5,5,22.5,1.5,1,1,2
,RMC,BOLTON NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,27,24,3,88.89%,,4.5,3,9,7.5,1,0,1.5,0.5
,RAE,BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,42.5,37,5.5,87.06%,,4,6,7,20,0,3,0.5,2
,RXH,BRIGHTON AND SUSSEX UNIVERSITY HOSPITALS NHS TRUST,ADMITTED,ALL CANCERS,63,52,11,82.54%,,6,4,19,23,1,2,2.5,5.5
,RXQ,BUCKINGHAMSHIRE HEALTHCARE NHS TRUST,ADMITTED,ALL CANCERS,56.5,44,12.5,77.88%,,12,10,13,9,4,2,2.5,4
,RJF,BURTON HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,34,28,6,82.35%,,7,2,6,13,2,2,0,2
,RWY,CALDERDALE AND HUDDERSFIELD NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,56,51,5,91.07%,,8,4,15,24,2,2,0,1
,RGT,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,57.5,41.5,16,72.17%,,14,4.5,8.5,14.5,6,3.5,2.5,4
,RW3,CENTRAL MANCHESTER UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,26.5,21.5,5,81.13%,,4,2.5,4,11,1.5,2,0.5,1
