62-DAY (URGENT GP REFERRAL TO TREATMENT) WAIT FOR FIRST TREATMENT: ALL CANCERS,,,,,,,,,,,,,,,,,
42309,,,,,,,,,,,,,,,,,
"BASIS: PROVIDER BASED INCLUDING WELSH CROSS-BORDER PATIENTS AND ""UNKNOWNS""",,,,,,,,,,,,,,,,,
DEFINITIONS: AMD 23/2011,,,,,,,,,,,,,,,,,
NOTE: THE NHS CANCER PLAN ALL CANCER 62-DAY REFERRAL TO TREATMENT STANDARD DATASET INCLUDES THOSE PATIENTS SEPARATELY IDENTIFIED IN THE 31-DAY REFERRAL TO TREATMENT STANDARD FOR RARE CANCERS.,,,,,,,,,,,,,,,,,
Footnotes: See Cover page,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
PART A: ADMITTED CARE,,,,,,,,,,,,,,,,,
,,,,,NUMBER OF PEOPLE RECEIVING FIRST TREATMENT FOR CANCER,,,PERCENTAGE ,,NUMBER OF PEOPLE RECEIVING FIRST TREATMENT FOR CANCER,,,,,,,
,ODS CODE (1),ACCOUNTABLE PROVIDER (4) (5),CARE SETTING (2),CANCER TYPE,TOTAL,WITHIN 62 DAYS,AFTER 62 DAYS,TREATED WITHIN 62 DAYS,,WITHIN 31 DAYS,32 TO 38 DAYS,39 TO 48 DAYS,49 TO 62 DAYS,63 TO 76 DAYS,77 TO 90 DAYS,91 TO 104 DAYS ,AFTER 104 DAYS
,REM,AINTREE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,45,43.5,1.5,96.67%,,13.5,11,9,10,0,1.5,0,0
,RCF,AIREDALE NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,27,26.5,0.5,98.15%,,6,3.5,7,10,0.5,0,0,0
,RTK,ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,28,26.5,1.5,94.64%,,0.5,4,3.5,18.5,0,0.5,1,0
,RF4,"BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST",ADMITTED,ALL CANCERS,86,64,22,74.42%,,22.5,9.5,12.5,19.5,4,5,3.5,9.5
,RFF,BARNSLEY HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,30.5,26,4.5,85.25%,,9,3,5.5,8.5,2.5,1.5,0,0.5
,R1H,BARTS HEALTH NHS TRUST,ADMITTED,ALL CANCERS,64.5,53.5,11,82.95%,,9,9.5,8.5,26.5,4,2.5,1.5,3
,RDD,BASILDON AND THURROCK UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,36,22.5,13.5,62.50%,,3,7,5.5,7,2.5,2,2.5,6.5
,RC1,BEDFORD HOSPITAL NHS TRUST,ADMITTED,ALL CANCERS,26.5,25.5,1,96.23%,,7,1,6,11.5,0.5,0,0.5,0
,RLU,BIRMINGHAM WOMEN'S NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,5,5,0,100.00%,,0,0.5,0,4.5,0,0,0,0
,RXL,BLACKPOOL TEACHING HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,62,53.5,8.5,86.29%,,12,6,13,22.5,2.5,1,3,2
,RMC,BOLTON NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,25.5,24.5,1,96.08%,,7.5,4,4,9,0.5,0,0.5,0
