31-DAY (DIAGNOSIS TO TREATMENT) WAIT FOR FIRST TREATMENT: ALL CANCERS,,,,,,,,,,,,,,
42614,,,,,,,,,,,,,,
"BASIS: PROVIDER BASED INCLUDING WELSH CROSS-BORDER PATIENTS AND ""UNKNOWNS""",,,,,,,,,,,,,,
DEFINITIONS: AMD 23/2011,,,,,,,,,,,,,,
Footnotes: See Cover page,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
PART A: ADMITTED CARE,,,,,,,,,,,,,,
,,,,,NUMBER OF PEOPLE RECEIVING FIRST TREATMENT FOR CANCER,,,PERCENTAGE ,,NUMBER OF PEOPLE RECEIVING FIRST TREATMENT FOR CANCER,,,,
,ODS CODE (1),PROVIDER (4) (5),CARE SETTING (2),CANCER TYPE,TOTAL,WITHIN 31 DAYS,AFTER 31 DAYS,TREATED WITHIN 31 DAYS,,WITHIN 31 DAYS,32 TO 38 DAYS,39 TO 48 DAYS,49 TO 62 DAYS,AFTER 62 DAYS
,REM,AINTREE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,102,101,1,99.02%,,101,0,1,0,0
,RCF,AIREDALE NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,41,40,1,97.56%,,40,0,1,0,0
,RBS,ALDER HEY CHILDREN'S NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,5,5,0,100.00%,,5,0,0,0,0
,RTK,ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,48,47,1,97.92%,,47,0,1,0,0
,RF4,"BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST",ADMITTED,ALL CANCERS,113,113,0,100.00%,,113,0,0,0,0
,RFF,BARNSLEY HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,42,40,2,95.24%,,40,0,2,0,0
,R1H,BARTS HEALTH NHS TRUST,ADMITTED,ALL CANCERS,185,180,5,97.30%,,180,3,2,0,0
,RDD,BASILDON AND THURROCK UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,61,58,3,95.08%,,58,2,0,1,0
,RC1,BEDFORD HOSPITAL NHS TRUST,ADMITTED,ALL CANCERS,64,64,0,100.00%,,64,0,0,0,0
,RQ3,BIRMINGHAM CHILDREN'S HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,11,11,0,100.00%,,11,0,0,0,0
,RLU,BIRMINGHAM WOMEN'S NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,1,1,0,100.00%,,1,0,0,0,0
,RXL,BLACKPOOL TEACHING HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,127,127,0,100.00%,,127,0,0,0,0
,RMC,BOLTON NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,80,72,8,90.00%,,72,1,6,1,0
