31-DAY (DIAGNOSIS TO TREATMENT) WAIT FOR FIRST TREATMENT: ALL CANCERS,,,,,,,,,,,,,,
42522,,,,,,,,,,,,,,
"BASIS: PROVIDER BASED INCLUDING WELSH CROSS-BORDER PATIENTS AND ""UNKNOWNS""",,,,,,,,,,,,,,
DEFINITIONS: AMD 23/2011,,,,,,,,,,,,,,
Footnotes: See Cover page,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
PART A: ADMITTED CARE,,,,,,,,,,,,,,
,,,,,NUMBER OF PEOPLE RECEIVING FIRST TREATMENT FOR CANCER,,,PERCENTAGE ,,NUMBER OF PEOPLE RECEIVING FIRST TREATMENT FOR CANCER,,,,
,ODS CODE (1),PROVIDER (4) (5),CARE SETTING (2),CANCER TYPE,TOTAL,WITHIN 31 DAYS,AFTER 31 DAYS,TREATED WITHIN 31 DAYS,,WITHIN 31 DAYS,32 TO 38 DAYS,39 TO 48 DAYS,49 TO 62 DAYS,AFTER 62 DAYS
,REM,AINTREE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,102,102,0,100.00%,,102,0,0,0,0
,RCF,AIREDALE NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,52,52,0,100.00%,,52,0,0,0,0
,RBS,ALDER HEY CHILDREN'S NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,2,2,0,100.00%,,2,0,0,0,0
,RTK,ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,42,41,1,97.62%,,41,1,0,0,0
,RF4,"BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST",ADMITTED,ALL CANCERS,121,116,5,95.87%,,116,3,2,0,0
,RFF,BARNSLEY HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,53,52,1,98.11%,,52,0,0,1,0
,R1H,BARTS HEALTH NHS TRUST,ADMITTED,ALL CANCERS,159,155,4,97.48%,,155,3,1,0,0
,RDD,BASILDON AND THURROCK UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,64,63,1,98.44%,,63,1,0,0,0
,RC1,BEDFORD HOSPITAL NHS TRUST,ADMITTED,ALL CANCERS,67,64,3,95.52%,,64,1,2,0,0
,RQ3,BIRMINGHAM CHILDREN'S HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,9,9,0,100.00%,,9,0,0,0,0
,RXL,BLACKPOOL TEACHING HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,153,150,3,98.04%,,150,2,1,0,0
,RMC,BOLTON NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,71,68,3,95.77%,,68,1,2,0,0
,RAE,BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,88,86,2,97.73%,,86,0,1,0,1
,RXH,BRIGHTON AND SUSSEX UNIVERSITY HOSPITALS NHS TRUST,ADMITTED,ALL CANCERS,135,133,2,98.52%,,133,1,1,0,0
,RXQ,BUCKINGHAMSHIRE HEALTHCARE NHS TRUST,ADMITTED,ALL CANCERS,118,116,2,98.31%,,116,0,0,1,1
,RJF,BURTON HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,49,48,1,97.96%,,48,0,0,1,0
,RWY,CALDERDALE AND HUDDERSFIELD NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,91,90,1,98.90%,,90,1,0,0,0
,RGT,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,179,171,8,95.53%,,171,5,3,0,0
,RV3,CENTRAL AND NORTH WEST LONDON NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,1,1,0,100.00%,,1,0,0,0,0
,RW3,CENTRAL MANCHESTER UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,97,97,0,100.00%,,97,0,0,0,0
,RQM,CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,35,35,0,100.00%,,35,0,0,0,0
,RFS,CHESTERFIELD ROYAL HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,65,65,0,100.00%,,65,0,0,0,0
,RLN,CITY HOSPITALS SUNDERLAND NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,80,78,2,97.50%,,78,1,1,0,0
,RDE,COLCHESTER HOSPITAL UNIVERSITY NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,122,109,13,89.34%,,109,7,4,1,1
,RJR,COUNTESS OF CHESTER HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,71,71,0,100.00%,,71,0,0,0,0
,RXP,COUNTY DURHAM AND DARLINGTON NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,132,130,2,98.48%,,130,1,0,1,0
,RJ6,CROYDON HEALTH SERVICES NHS TRUST,ADMITTED,ALL CANCERS,29,29,0,100.00%,,29,0,0,0,0
,RN7,DARTFORD AND GRAVESHAM NHS TRUST,ADMITTED,ALL CANCERS,53,53,0,100.00%,,53,0,0,0,0
,RTG,DERBY TEACHING HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,217,202,15,93.09%,,202,8,1,5,1
,RP5,DONCASTER AND BASSETLAW HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,86,84,2,97.67%,,84,1,0,1,0
,RBD,DORSET COUNTY HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,62,61,1,98.39%,,61,1,0,0,0
,RWH,EAST AND NORTH HERTFORDSHIRE NHS TRUST,ADMITTED,ALL CANCERS,78,72,6,92.31%,,72,2,0,2,2
,RJN,EAST CHESHIRE NHS TRUST,ADMITTED,ALL CANCERS,32,32,0,100.00%,,32,0,0,0,0
,RVV,EAST KENT HOSPITALS UNIVERSITY NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,223,206,17,92.38%,,206,10,2,1,4
,RXR,EAST LANCASHIRE HOSPITALS NHS TRUST,ADMITTED,ALL CANCERS,154,153,1,99.35%,,153,0,0,0,1
,RXC,EAST SUSSEX HEALTHCARE NHS TRUST,ADMITTED,ALL CANCERS,128,125,3,97.66%,,125,1,2,0,0
,RVR,EPSOM AND ST HELIER UNIVERSITY HOSPITALS NHS TRUST,ADMITTED,ALL CANCERS,21,21,0,100.00%,,21,0,0,0,0
,RDU,FRIMLEY HEALTH NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,186,186,0,100.00%,,186,0,0,0,0
,RR7,GATESHEAD HEALTH NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,100,100,0,100.00%,,100,0,0,0,0
,RLT,GEORGE ELIOT HOSPITAL NHS TRUST,ADMITTED,ALL CANCERS,40,40,0,100.00%,,40,0,0,0,0
